id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
38548780,Fabulosas vistas y en pleno centro,16530582,Yon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31813,-1.97511,Entire home/apt,264,6,0,,,1,157,0,
38562230,So by Oldtown SS Apartments,151115652,Amaia,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32387,-1.9861,Entire home/apt,150,1,13,2022-02-06,0.44,7,220,9,ESS00336
38564267,Apartamento - BEKOZU - Principal,85877790,Maria,Vizcaya,Gautegiz Arteaga,43.37083,-2.63805,Private room,109,1,0,,,3,195,0,
38574658,Arenal Old Town Great views Ideal for couples,294317617,Antonella,Vizcaya,Bilbao,43.26024,-2.92222,Private room,51,3,84,2022-03-21,2.77,1,237,40,L-BI-78
38577077,Piso luminoso cerca de bilbao,294344637,Eder,Vizcaya,Elorrio,43.13048,-2.53656,Entire home/apt,60,2,2,2019-11-03,0.07,1,0,0,
38598135,Habitación acogedora,45715890,Montxi,Ãlava,Vitoria-Gasteiz,42.85405,-2.70059,Private room,23,1,41,2022-03-08,1.35,2,70,28,
38600527,100 m from beach/amazing terrace/PARKING INCLUDED,4614604,Apartamentos Donostia,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31313,-2.00468,Entire home/apt,144,2,58,2022-03-27,1.90,6,102,34,ESS02486
38601361,MODERN AND CLEAN TWIN ROOM WITH SHARED BATHROOM,294582203,Iker,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32327,-1.98459,Private room,53,1,25,2022-03-29,0.96,2,116,17,LSS00097
38610614,4 min de la playa de la Concha(parking opcional),116844287,Ane,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3195,-1.98066,Entire home/apt,126,2,26,2022-03-28,0.89,3,131,17,SS10604
38618144,A 30 minutos de Bilbao y en plena naturaleza,44554158,Marisa,Vizcaya,Artzentales,43.23936,-3.21407,Private room,50,2,11,2021-08-28,0.37,1,59,8,
38621101,3 min de la playa .Parking Opcional,116844287,Ane,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31439,-2.00516,Entire home/apt,571,2,16,2021-09-08,0.55,3,47,10,ESS02072
38632937,Habitación privada con baño privado,295069000,Lucia,Vizcaya,Bilbao,43.25607,-2.9386,Private room,50,2,16,2021-11-14,0.52,2,253,5,
38643976,7 minutes walk to Old Town+ FREE PARKING,53835119,Andoni,Vizcaya,Bilbao,43.25014,-2.92192,Entire home/apt,97,2,40,2022-03-25,1.30,2,160,11,EBI 1197
38659468,Vida tranquila y espacio para moverse y respirar 1,295069382,Fernando,Ãlava,ValdegovÃ­a,42.86166,-3.03873,Entire home/apt,260,1,0,,,3,291,0,
38659945,HABITACION CON CAMA DOBLE Y GRAN TERRAZA,62205707,Mercedes Medina,Vizcaya,Bilbao,43.26941,-2.92449,Private room,14,30,0,,,75,273,0,PARA ESTANCIAS DE 1 MES O SUPERIORES NO ES NECESARIA LICENCIA TURISTICA
38663720,"Pueblo de pescadores.
E.BI-1306",276930244,Miren,Vizcaya,Ondarroa,43.32242,-2.42216,Entire home/apt,82,3,19,2021-09-12,0.62,1,4,4,
38672287,Luminoso apartamento con parking,295474720,Eulalia,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.30551,-2.01717,Entire home/apt,181,2,9,2020-10-04,0.30,1,0,0,
38683467,Habitación en casa en el campo,295606520,Maria Teresa,Vizcaya,Gatika,43.36753,-2.88573,Private room,70,1,3,2021-08-21,0.25,1,161,3,
38691639,Apartment in the center of San Sebastian,168097256,Alex,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31927,-1.97921,Entire home/apt,106,2,72,2022-03-14,2.38,1,310,45,ESS02494
38698593,Piso coqueto y tranquilo en el puerto de Lekeitio,295858154,Esti,Vizcaya,Lekeitio,43.3668,-2.50051,Entire home/apt,45,2,22,2022-02-12,0.72,3,308,16,
38700377,Cozy flat. totally reformed.,190786962,Ibon,Vizcaya,Lekeitio,43.366,-2.50404,Entire home/apt,100,7,10,2021-08-20,0.47,1,183,3,E-BI-768
38713794,"Habitación luminosa, tranquila y cama grande",295998955,Argiñe,Vizcaya,Bilbao,43.2614,-2.94234,Private room,43,1,5,2019-11-17,0.16,3,361,0,
38718831,Convenient Cozy Home near Beach Sights MainStation,45178635,Janine,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32152,-1.97634,Private room,46,1,4,2021-11-14,0.13,1,0,3,
38723134,"Ático acogedor, vistas panorámicas en pleno centro",295998955,Argiñe,Vizcaya,Bilbao,43.26236,-2.94159,Entire home/apt,141,2,5,2021-09-04,0.17,3,357,2,
38730492,apartamento en  el corazon de Bilbao,126618074,Liz,Vizcaya,Bilbao,43.25336,-2.9253,Private room,50,1,14,2019-11-17,0.46,2,119,0,
38741064,HABITACIÓN CENTRICA,126618074,Liz,Vizcaya,Bilbao,43.25218,-2.92505,Private room,33,1,0,,,2,0,0,
38755097,Habitación salón privada,87341925,Ana,Vizcaya,Bilbao,43.27024,-2.95156,Private room,43,1,5,2021-10-10,0.64,4,364,5,
38764028,Nice flat in Bilbao,195668853,Koli,Vizcaya,Bilbao,43.26357,-2.92813,Entire home/apt,120,2,9,2020-09-20,0.30,1,81,0,
38765132,DOUBLE DELUXE ROOM OLD TOWN,294582203,Iker,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32468,-1.98275,Private room,64,1,1,2021-01-31,0.07,2,83,0,LSS00097
38778128,Bedroom+Livingroom loft-style+Terrace+Breakfast,266120870,Esteban,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.30549,-1.98776,Private room,92,1,87,2022-03-20,2.86,1,75,48,LSS00237
38797282,/LA BAMBA/5 MINUTES WALK TO THE BEACH.PARKING&WIFI,270981616,Maria Trinidad,GuipÃºzcoa,Zarautz,43.2845,-2.16144,Entire home/apt,148,2,17,2021-10-17,0.59,1,66,3,ESS02481
38806666,Casa en zona rural con Vistas Espectaculares,212394018,Alicia,Vizcaya,Mungai,43.38204,-2.82884,Entire home/apt,125,3,2,2021-04-04,0.07,1,86,1,LBI00404
38817360,Pensión Txoko-Maitea Habitación 15,35093028,Adriana,GuipÃºzcoa,Urnieta,43.2474,-1.99288,Private room,59,1,2,2020-07-26,0.07,13,349,0,
38818342,Alojamiento Rural Abuela Andrea,297018596,Raúl,Ãlava,LantarÃ³n,42.74308,-2.98405,Entire home/apt,360,3,5,2021-08-22,0.17,3,247,1,EVI00136
38829698,"Casa APERREGUI en Álava, País Vasco.",213987779,Ainhoa,Ãlava,Zuia,42.92326,-2.8413,Entire home/apt,180,2,5,2020-08-12,0.17,1,0,0,
38834703,HABITACIÓN CON TERRAZA EN PISO REFORMADO URÍBARRI,62205707,Mercedes Medina,Vizcaya,Bilbao,43.26896,-2.9199,Private room,15,30,1,2020-04-17,0.04,75,242,0,PARA ESTANCIAS DE 1 MES O SUPERIORES NO ES NECESARIA LICENCIA TURISTICA
38837557,GRAN VIA SUITE APARTMENT,2470030,Vanesa,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32297,-1.97238,Entire home/apt,235,1,28,2021-09-18,0.94,19,259,6,ESS02452
38840631,Balcón al Valle Salado 1,297018596,Raúl,Ãlava,AÃ±ana,42.80227,-2.9881,Entire home/apt,130,3,2,2021-08-22,0.07,3,50,1,EVI00134
38859481,Piso+Garaje(wifi+Netflix)EBI01256,169121098,Ibon,Vizcaya,Lekeitio,43.36389,-2.504,Entire home/apt,100,4,5,2021-07-26,0.18,1,21,2,EBI01256
38863329,Old Bilbao con Vistas a la Ria by The Urban Hosts,259214417,Ane Y Jon,Vizcaya,Bilbao,43.25071,-2.92245,Entire home/apt,121,1,13,2021-12-31,0.43,2,319,1,EBI01272
38870201,Habitacion privada con baño en Tolosa,226705810,Mary,GuipÃºzcoa,Tolosa,43.13729,-2.07328,Private room,33,1,17,2021-08-22,1.88,1,0,17,
38873571,Vitori's House,152783017,Inaki,Vizcaya,Karrantza Harana,43.22815,-3.35641,Entire home/apt,190,2,3,2021-09-05,0.14,1,322,2,EBI01248
38876174,Bergara Apartment by Basque Homes,2035832,Jokin Y Michele,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31935,-1.98121,Entire home/apt,87,2,38,2022-01-23,1.29,17,245,21,ESS00710
38887811,Centrico Casco viejo. Unbeatable location.,25978888,Alain,Vizcaya,Bilbao,43.25567,-2.9243,Private room,120,1,2,2019-11-02,0.07,1,88,0,
38901065,Bilbao apartment ★2 bedrooms ★WIFI ★Opt: Parking,176824526,María,Vizcaya,Bilbao,43.25372,-2.93738,Entire home/apt,54,2,107,2022-03-28,3.56,2,10,59,EBI-647
38920958,Balcon al Valle Salado 2,297018596,Raúl,Ãlava,AÃ±ana,42.8005,-2.98663,Entire home/apt,199,2,3,2020-01-02,0.10,3,151,0,EVI00135
38924952,Espectacular casa turistica,298123585,Nerea,Ãlava,Amurrio,43.02439,-2.99522,Entire home/apt,30,1,6,2020-01-27,0.20,1,328,0,
38941947,Apartamento en casa individual con jardín Guecho,9275126,Eugenia,Vizcaya,Getxo,43.3273,-3.015,Entire home/apt,90,7,3,2021-09-25,0.39,1,89,3,
38943325,Gorosarri Landetxea- Estudio 2/4 pax,21766395,Alex,GuipÃºzcoa,Eskoriatza,42.9946,-2.56307,Hotel room,134,1,0,,,6,314,0,XSS000107
38943381,Gorosarri - Estudio 2/4 pax,21766395,Alex,GuipÃºzcoa,Eskoriatza,42.99395,-2.56427,Hotel room,134,1,0,,,6,310,0,XSS000107
38943412,Gorosarri Landetxea- Estudio 1/3 pax,21766395,Alex,GuipÃºzcoa,Eskoriatza,42.9946,-2.56307,Hotel room,96,1,0,,,6,301,0,XSS000107
38943454,Gorosarri Landetxea- Estudio 1/3 pax,21766395,Alex,GuipÃºzcoa,Eskoriatza,42.99488,-2.56372,Hotel room,96,1,0,,,6,335,0,XSS000107
38976187,Disfrute de Bilbao desde la mejor ubicacion.,163694009,Guillermo,Vizcaya,Bilbao,43.26329,-2.92654,Private room,50,3,0,,,1,0,0,
38985558,Welcome🖤- Precioso y acogedor piso en el Valle🌺,298700080,Esther,Vizcaya,Valle de TrÃ¡paga-Trapagaran,43.30242,-3.03458,Entire home/apt,50,2,31,2021-11-21,1.41,1,0,18,EB101469
39038568,Apto con estupendas vistas a la costa by SAH,208200792,Belfeta,Vizcaya,Sopelana,43.39205,-2.99054,Entire home/apt,926,1,5,2019-12-07,0.17,16,243,0,EBI01247
39040684,Apartamento entero en Bilbao La Vieja,299202849,Francisco,Vizcaya,Bilbao,43.2554,-2.92631,Entire home/apt,60,2,23,2022-03-27,0.76,1,88,19,EBIO13114
39046798,ARENAL by STAYNN APARTMENTS,208200792,Belfeta,Vizcaya,Bilbao,43.25475,-2.9289,Entire home/apt,130,1,57,2022-03-10,1.91,16,353,22,EBI00961
39047143,Juanita Etxea,240140396,Mikel,GuipÃºzcoa,Hondarribia,43.36235,-1.79278,Entire home/apt,30,2,28,2022-03-30,1.03,2,5,13,ES-6692314
39064237,"Confortable Chalet playa, Orio-Donostia, familias.",299412693,Abaromendi,GuipÃºzcoa,Orio,43.28338,-2.1259,Entire home/apt,1000,2,2,2020-01-02,0.07,1,316,0,ESS02573
39110212,Pequeño apartament rural con un gran jardin,73341595,Arantza,Vizcaya,Ispaster,43.36332,-2.54689,Entire home/apt,60,2,47,2022-03-16,1.71,4,295,28,
39131630,Cozy apartment in the heart of Bilbao EBI-01297,188441029,Aitziber,Vizcaya,Bilbao,43.25475,-2.92579,Entire home/apt,105,2,54,2022-03-28,1.81,1,64,18,EBI-01297
39134416,VERY BILBAO ARTE Guggen - Hasta 50 % dto.,299041851,Isabel Y Enrique,Vizcaya,Bilbao,43.26789,-2.93297,Entire home/apt,124,7,21,2022-03-01,0.70,1,90,6,EBI01063
39150690,Optimi Rooms  - bilbao capsule hostel -,300297557,Optimi,Vizcaya,Bilbao,43.25937,-2.94313,Hotel room,33,1,69,2022-03-12,2.29,2,117,33,
39150921,"Casa Albero (17  minutos de San Mames)
   EBI-1333",71589089,Gorka,Vizcaya,Portugalete,43.32061,-3.02014,Entire home/apt,88,1,16,2020-03-01,0.54,1,5,0,EBI-01333
39164413,Acogedor apartamento en pleno pueblo de montaña.,21689706,Edurne,GuipÃºzcoa,Altzo,43.099483,-2.083068,Entire home/apt,60,2,25,2021-10-31,1.23,1,320,18,
39166064,Apart.50m Concha Beach.Terrace&Wifi,25039584,Ss Housing,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31711,-1.98511,Entire home/apt,139,2,25,2022-03-27,0.84,20,117,15,
39177168,Isozaki by KEYWII: Guggenheim y jardín privado,160361975,Beatriz,Vizcaya,Bilbao,43.26576,-2.93071,Entire home/apt,316,3,8,2021-08-27,0.28,1,56,5,
39190229,Habitación 2,230396744,Daniela,Ãlava,Vitoria-Gasteiz,42.86288,-2.67558,Private room,13,8,1,2019-10-29,0.03,1,89,0,
39190319,Wellness House II,47837464,Edu,Vizcaya,Getxo,43.35934,-3.0124,Private room,30,2,49,2022-03-11,1.63,3,82,21,
39193194,Moana Eco Surf House,300739995,Victoria,Vizcaya,Sopelana,43.38172,-2.99526,Private room,109,1,0,,,3,0,0,
